material,dielectric_mode,delta_v_uV,top_avg_abs_Ez_kV_per_m,top_avg_abs_Pz_uC_per_m2,max_mises_MPa
BiOCl,electronic,144.29459411991535,23.10050851957451,1.0633053010864242,164.22929932211304
BiOBr,electronic,353.6016676004789,57.61347265013881,2.7493590991671875,174.03183072305396
BiOI,electronic,246.90952771898375,42.6309846420535,2.3443197816199794,140.47163897637182
BiOCl,total,53.565346394357866,9.218422631393956,1.0633053823862793,164.2293058325624
BiOBr,total,177.65209503225754,31.370569642832162,2.7493596308704147,174.03185430858767
BiOI,total,152.09978029583562,27.95718116686914,2.3443200316652977,140.47164798634455
