material,slope_uV_per_MPa,intercept_uV,r2
BiOCl,0.5356521523575165,-3.552713678800501e-15,1.0
BiOBr,3.535897340110762,0.0,1.0
BiOI,2.4690539907170415,-1.4210854715202004e-14,1.0
