material,epsilon_mode,pressure_mpa,thickness_nm,epsilon_r_t_zz,e33_c_per_m2,d33_c_per_n,d33_pm_per_v,delta_v_v,delta_v_mv,g_eff_vm_per_n,analytic_order
BiOI,vasp-total,50.0,5.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,8.179481786753652e-05,0.08179481786753652,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,50.0,10.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,5.8277891793281004e-05,0.058277891793281,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,50.0,10.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.00019373897177451415,0.19373897177451416,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,50.0,10.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.00016358963573507305,0.16358963573507304,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,50.0,20.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00011655578358656201,0.116555783586562,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,50.0,20.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0003874779435490283,0.3874779435490283,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,50.0,20.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.0003271792714701461,0.3271792714701461,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,100.0,5.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,5.8277891793281004e-05,0.058277891793281,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,100.0,5.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.00019373897177451415,0.19373897177451416,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,100.0,5.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.00016358963573507305,0.16358963573507304,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,100.0,10.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00011655578358656201,0.116555783586562,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,100.0,10.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0003874779435490283,0.3874779435490283,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,100.0,10.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.0003271792714701461,0.3271792714701461,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,100.0,20.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00023311156717312402,0.233111567173124,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,100.0,20.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007749558870980566,0.7749558870980566,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,100.0,20.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.0006543585429402922,0.6543585429402922,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,200.0,5.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00011655578358656201,0.116555783586562,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,200.0,5.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0003874779435490283,0.3874779435490283,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,200.0,5.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.0003271792714701461,0.3271792714701461,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,200.0,10.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00023311156717312402,0.233111567173124,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,200.0,10.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0007749558870980566,0.7749558870980566,0.0003874779435490283,BiOBr>BiOI>BiOCl
BiOI,vasp-total,200.0,10.0,9.527939579788736,0.00067,2.760155217788116e-14,0.02760155217788116,0.0006543585429402922,0.6543585429402922,0.0003271792714701461,BiOBr>BiOI>BiOCl
BiOCl,vasp-total,200.0,20.0,13.119966031710609,0.0005,1.3539894141385024e-14,0.013539894141385024,0.00046622313434624803,0.466223134346248,0.00011655578358656201,BiOBr>BiOI>BiOCl
BiOBr,vasp-total,200.0,20.0,9.962059088627166,0.00069,3.417785708196605e-14,0.03417785708196605,0.0015499117741961132,1.5499117741961133,0.0003874779435490283,BiOBr>BiOI>BiOCl
