material,epsilon_mode,delta_v_mv,top_avg_abs_ez_kv_per_m,max_abs_ez_kv_per_m,top_avg_abs_pz_uC_per_m2,top_avg_pz_uC_per_m2,pz_x_uC_per_m2,pz_y_uC_per_m2,pz_z_uC_per_m2,max_mises_mpa,top_avg_ezz_percent,model_file
BiOCl,vasp-electronic,0.14429459411991535,23.10050851957451,33.341073873292075,1.0633053010864242,-1.0633053010864242,-0.03916515856817517,0.020197507216191832,-1.0443376497344405,164.22929932211304,-0.2088675299468881,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-electronic_p100_t5\BiOCl_piezo_final.mph
BiOBr,vasp-electronic,0.3536016676004789,57.61347265013881,76.32025892417867,2.7493590991671875,-2.7493590991671875,-0.07213474534604225,0.011519416869888898,-2.6887437706910244,174.03183072305396,-0.389673010245076,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-electronic_p100_t5\BiOBr_piezo_final.mph
BiOI,vasp-electronic,0.24690952771898375,42.6309846420535,52.69396534801633,2.3443197816199794,-2.3443197816199794,-0.06444737064278654,-0.002012004537055264,-2.2778604064401344,140.47163897637182,-0.33997916514031856,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-electronic_p100_t5\BiOI_piezo_final.mph
BiOCl,vasp-total,0.053565346394357866,9.218422631393956,12.680926622602499,1.0633053823862793,-1.0633053823862793,-0.03916516504339227,0.020197507755523814,-1.044337725098408,164.2293058325624,-0.20886754501968163,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOCl_piezo_final.mph
BiOBr,vasp-total,0.17765209503225754,31.370569642832162,39.79412743403878,2.7493596308704147,-2.7493596308704147,-0.07213477240707196,0.01151941884080111,-2.6887442773041355,174.03185430858767,-0.389673083667266,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOBr_piezo_final.mph
BiOI,vasp-total,0.15209978029583562,27.95718116686914,33.458385238331786,2.3443200316652977,-2.3443200316652977,-0.06444738749744525,-0.0020120047580502983,-2.2778606394098015,140.47164798634455,-0.3399791999119107,D:\Puxiaoyu\COMSOL\COMSOL63\Codex_BiOX_Phase2\runs\epsilon_vasp-total_p100_t5\BiOI_piezo_final.mph
