material,image_type,archive_path,sha256,data_size,pixel_size_nm_per_pixel,fov_um,magnification,accelerating_voltage,condition,scale_bar_um,measured_major_um,measured_minor_um,measured_thickness_nm,measurement_status
BiOI,SEM,SEM/20260310-SEM/3-I-SEM/6_5414.tif,bb2396694919ee6e40810f99d1cae28a75cc3fb3751f8e94c417615a1406bf35,1280x960,9.921875,12.7,10000,5000 Volt,Vacc=5.00kV Mag=x10.0k WD=8.9mm,,,,,pending_manual_annotation
BiOI,SEM,SEM/20260310-SEM/3-I-SEM/6_5419.tif,eeb5bc5f1c1e52003b67026e11168d87e4efc1cc1f74387d438f0723c46a1639,1280x960,4.960938,6.35,20000,20000 Volt,Vacc=20.00kV Mag=x20.0k WD=14.4mm,,,,,pending_manual_annotation
BiOI,TEM,TEM/数据处理/BiOI/2-1.dm3,9f4f7551456c355f90f0c9dd74c78722ae2302d7de2150c00d324fa5dc147e02,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-1.tif,09129ab9a3167716a4054111472bccb4fbbfdb8f7a6f91da22eb0ce50ee8eeef,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-10.dm3,c1ecddcc698940b0fb2769c95c8ce22f5e0edfd2bb8e7199673c0a954fd0a8a6,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-10.tif,fbe4bb3a2f20731e7ab6b55799535f8b8946d288f99012af0f13971d51c4a75a,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-11.dm3,881a5e3631ac156d9d4dc81b83e9423fbb0d16ce1c09d406aac10d071d71f36f,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-11.tif,d559618e892e4ad126512e9ed047534d46130191f1ef3e1d1fca6d9ce074bb27,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-12.dm3,fa56fc26f9e9fe7f882c5336e9800094499250fc6303b6f79fb96819715f7680,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-12.tif,1f03bf00ca92c89a2ba70d5589c040fb3342ca688fc3c5188350fd534c1748f3,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-13.dm3,4ad839e2aede804f79b81a22467c305158d7900e46c5cc3a226b1470980ec28b,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-13.tif,3c260d454e1166690dd45effb842dc9357dd815e03ac665f407309f671728a2b,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-14.dm3,446b72b35ef0fdae3b8505976ebac45819e0d7720df9ab30fe2845f1f7b7bf5b,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-14.tif,ebb279431401b7bb49f13b510479d4cd23e32ae8a36e4abebc816ccbf0acc394,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-15.dm3,e3613b3787cfa4568b1c64aee768ba026c783fba49b9b2a4e6f18fd66a230f64,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-15.tif,f955cdfb307742cec6ba0eef670b838fbd2ce502abcaf1c7d75bf4ab3e23f10b,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-16.dm3,4cb6bb03a5ecc5a9263226b74b0c1110dcb1adf06f5809c72701d12461329e43,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-16.tif,9ff4de81880626aa39af23a72f7d6793a18b1abe804b2e8ccf0cf882a184209f,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-17.dm3,2e7673bb44fa8e26bb39365ca9f78f8d93666ce2db25a16920a5094596893a41,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-17.tif,951d3fc56a4e0e82db8b22811e78491c2efe9763778970c72115d9edc7157992,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-2.dm3,dd7dfe20d04418b24e1b16a6dac9e48eed6315a0b2bc1947243bfb5fdf231c84,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-2.tif,93dcc31e59d9bfa7e0dd9a368901395f6992d0e7e04c650f149fae230051b471,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-3.dm3,f4a6fb7acbbf48cd224a5c954b1f96bd6104ce55d39c106b93c1bb95e59d570f,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-3.tif,3f82c9332adb39a3011e4a8b06ec23e8749ce002907a651fa939c74d19f8b7b1,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-4.dm3,f04ad6d24a54441888b7f099c517a84b953310833ff7a73b4ca639bfab44ca05,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-4.tif,053ffdf2bbfc82a95512f4424ced5a50d842e6d577ae63568769deb42895ed61,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-5.dm3,2a9bf5544cd15d22fceda2cd051a91789a5b7d3570e3f263e166b55306dc2ff3,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-5.tif,17e08424a472752fb9b9cece3fc4b93eb6ec9f86a4c318281a2f5153bc2d3419,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-6.dm3,f33cc39bdb54ace7bb9e483631291abf60577990a30452f011316bd224bfd27a,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-6.tif,3dd9c962480d00819dac75157d7e964f7e037e512cce0be42fdc716fc050440a,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-7.dm3,2f3c28f1e38bb924629e0121239c615201b2d392b4303465c77185b0a674231d,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-7.tif,8f1815384639365c7a5678af143e3afb64d0cd9fadccfaa038f8c3259515ee04,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-8.dm3,261750479f1fced1c67c76c4414edabf04de7f4df622ec9c3c316e981b7a8251,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-8.tif,8b5a9cf368914e275da8f35b57bc3460a0d183f526d51bbbb76b7557f3123abe,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-9.dm3,4da5169aad7874f78d3d7b7248cc5d2651057df36c8d4c467e53fd65bc08b95f,,,,,,,,,,,scale_bar_manual
BiOI,TEM,TEM/数据处理/BiOI/2-9.tif,b29c0c7c3fc5ea5c95c027374c7e47326c02510c5049583a362418e0001c9fac,,,,,,,,,,,scale_bar_manual
