bottom_boundary_ids,delta_v_v,effective_3d_assumption,electrode_model,epsilon_status,exported_images,hmax_nm,hmin_nm,length_um,material,max_mises_pa,mode,model_file,model_size_bytes,patch_sigma_nm,pfm_target_d33_app_pm_per_V,pfm_target_n_cycles,pfm_target_sd_pm_per_V,pressure_mpa,selection_tolerance_nm,simulated_d_eff_pm_per_V,simulated_to_pfm_target_ratio,status,thickness_nm,top_average_w_m,top_boundary_ids,vac_V,vmax_v,vmin_v,width_um
[3],0.9999987667797807,Out-of-plane constants are not supplied by the 2D source; report this as an effective-continuum assumption.,gaussian_surface_potential_proxy,"legacy VASP electronic values; sensitivity only, not supplied by Li 2022","['D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOI_pfm-converse_stress.png', 'D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOI_pfm-converse_potential.png', 'D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOI_pfm-converse_displacement.png']",20.0,0.5,0.1,BiOI,100728835.46856827,pfm-converse,D:\Puxiaoyu\COMSOL\COMSOL63\BiOX_COMSOL_Source Code\BiOX_Piezoelectric_COMSOL_v1.3.0\comsol_run\actual_pfm_gaussian_v5\BiOI_piezo_pfm-converse_final.mph,14809903,10.0,649.6692759,4,9.3258394,100.0,0.01,9.897261414108856e-09,1.5234307333370473e-11,comsol_solved_and_checked,1.0,9.897261414108855e-21,[4],1.0,0.9999987667797807,0.0,0.1
[3],0.9999987667797807,Out-of-plane constants are not supplied by the 2D source; report this as an effective-continuum assumption.,gaussian_surface_potential_proxy,"legacy VASP electronic values; sensitivity only, not supplied by Li 2022","['D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOBr_pfm-converse_stress.png', 'D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOBr_pfm-converse_potential.png', 'D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOBr_pfm-converse_displacement.png']",20.0,0.5,0.1,BiOBr,83802250.70185682,pfm-converse,D:\Puxiaoyu\COMSOL\COMSOL63\BiOX_COMSOL_Source Code\BiOX_Piezoelectric_COMSOL_v1.3.0\comsol_run\actual_pfm_gaussian_v5\BiOBr_piezo_pfm-converse_final.mph,14810279,10.0,477.983116,4,6.7741138,100.0,0.01,7.407648319441898e-09,1.549771962958185e-11,comsol_solved_and_checked,1.0,7.407648319441898e-21,[4],1.0,0.9999987667797807,0.0,0.1
[3],0.9999987667797807,Out-of-plane constants are not supplied by the 2D source; report this as an effective-continuum assumption.,gaussian_surface_potential_proxy,"legacy VASP electronic values; sensitivity only, not supplied by Li 2022","['D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOCl_pfm-converse_stress.png', 'D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOCl_pfm-converse_potential.png', 'D:\\Puxiaoyu\\COMSOL\\COMSOL63\\BiOX_COMSOL_Source Code\\BiOX_Piezoelectric_COMSOL_v1.3.0\\comsol_run\\actual_pfm_gaussian_v5\\BiOCl_pfm-converse_displacement.png']",20.0,0.5,0.1,BiOCl,73346193.53447235,pfm-converse,D:\Puxiaoyu\COMSOL\COMSOL63\BiOX_COMSOL_Source Code\BiOX_Piezoelectric_COMSOL_v1.3.0\comsol_run\actual_pfm_gaussian_v5\BiOCl_piezo_pfm-converse_final.mph,14809870,10.0,315.7109605,4,6.1263253,100.0,0.01,1.3946566513334019e-08,4.4175110332712125e-11,comsol_solved_and_checked,1.0,1.394656651333402e-20,[4],1.0,0.9999987667797807,0.0,0.1
